Player,Romanized Name,Nationality,Born,Status,Role,Team,Signature Heroes,Game Appearances,Approx. Total Winnings
xzodyal,,Spain,"December 29, 2006 (age 18)",Active,DPS Coach,Gen.G Esports,"Sojourn, Cassidy, Widowmaker",Overwatch 2,"$10,747"
Kellan,Kim Min-jae,South Korea,"October  9, 2003 (age 21)",Active,Tank,Spacestation Gaming,"Winston, Reinhardt, Wrecking Ball",Overwatch Overwatch 2,"$37,671"
HINIS4Ku,,,,,,,,,
Mercury,,United States Russia,"April 23, 2001 (age 24)",Active,Coach Support,ZoKorp Esports Bellevue University,"Kiriko, Ana, Zenyatta",Overwatch Overwatch 2,$27
Tom4to,,,,,,,,,
Rohan,,,,,,,,,
Wh4le,Hao Zijie,China,"October 18, 2004 (age 20)",Active,DPS,,"Sojourn, Cassidy, Ashe",,"$2,927"
F1nally,,,,,,,,,
zox,Ziyad Murdhi Aldosarie,Saudi Arabia,"July  4, 2006 (age 19)",Active,Support,Gen.G Esports,"Ana, Baptiste, Juno",Overwatch 2,"$7,074"
Bliss,Kim So-myung,South Korea,"January  5, 2005 (age 20)",Active,Support,Spacestation Gaming,"Lúcio, Brigitte, Mercy",Overwatch Overwatch 2,"$81,000"
Prota,,United States,"November  5, 2003 (age 21)",Active,Support,Bryant & Stratton College Virginia ExO: Sakura,"Baptiste, Ana, Illari",Overwatch Overwatch 2,"$7,054"
LtNest,,Japan,"March 17, 1998 (age 27)",Active,Support,,"Ana, Mercy, Lúcio",Overwatch 2,$680
Twilight,Lee Joo-seok,South Korea,"February  8, 1998 (age 27)",Active,Support,The Ultimates,"Ana, Zenyatta, Baptiste",Overwatch Overwatch 2,"$179,622"
Arise,,South Korea,,Active,DPS,Shikigami Illinois State University Academy,"Widowmaker, Tracer, Genji",Overwatch Overwatch 2,"$1,194"
Vosa1q,,,,,,,,,
PEPPI,Kim Noah,South Korea,"October 15, 2005 (age 19)",Active,Tank,,"Sigma, D.Va, Zarya",Overwatch Overwatch 2,"$10,392"
Axure,,Canada,"March 16, 2006 (age 19)",Active,Tank,DhillDucks St. Clair College,"Doomfist, Sigma, Zarya",Overwatch 2,"$1,812"
Whoru,Lee Seung-jun,South Korea,"August 23, 2001 (age 23)",Active,DPS,Gen.G Esports,"Genji, Tracer, Pharah",Overwatch Overwatch 2,"$288,887"
One,Fahad Aloqayli,Saudi Arabia,"December 25, 2004 (age 20)",Active,Support,Team Vision,"Zenyatta, Ana, Baptiste",Overwatch Overwatch 2,"$66,439"
November,Kim Gyu-min,South Korea,"November 19, 2004 (age 20)",Active,Support DPS,LostNever Gaming,"Ana, Zenyatta, Tracer",Overwatch Overwatch 2,"$2,697"
MAX,Choi Su-min,South Korea,"November 23, 2004 (age 20)",Active,Tank,Crazy Raccoon,"Sigma, D.Va, Zarya",Overwatch Overwatch 2,"$164,800"
Rokit,,United States,"April  5, 2005 (age 20)",Active,DPS,Sign Esports NTMR Northwood University Blue,"Tracer, Genji, Ashe",Overwatch Overwatch 2,"$26,420"
Overshake,Kim Do-hoon,Singapore South Korea,"December  4, 2004 (age 20)",Active,Support,Full House,"Lúcio, Brigitte, Zenyatta",Overwatch Overwatch 2,"$3,519"
CheckMate,Baek Seung-hun,South Korea,"May  8, 2001 (age 24)",Active,DPS,Al Qadsiah,"Genji, Tracer, Echo",Overwatch Overwatch 2,"$286,364"
Remedy,Yin Jiajun,China,"October 12, 2004 (age 20)",Active,Support,Milk Tea,"Illari, Baptiste, Ana",,"$3,532"
JONGWOO,Park Jong-woo,South Korea,"September 24, 2004 (age 20)",Active,Support,I LOVE YOU,,Overwatch Overwatch 2,$264
Kilo,Jung Jin-woo,South Korea,"July  8, 2003 (age 22)",Active,DPS,ONSIDE GAMING,"Widowmaker, Ashe, Cassidy",Overwatch Overwatch 2,"$136,991"
LBBD7,Abdulelah Alfaifi,Saudi Arabia,"May 13, 2005 (age 20)",Active,DPS Flex,Al Qadsiah,"Pharah, Echo, Sojourn",Overwatch Overwatch 2,"$85,855"
Epic,Takumi Ohta,Japan,"April  6, 2002 (age 23)",Active,Support,REJECT,"Brigitte, Lúcio, Kiriko",Overwatch Overwatch 2,"$2,316"
NHZ,Yuto Yagami,Japan,"November  3, 2002 (age 22)",Active,Support,REVATI,"Brigitte, Lúcio",Overwatch Overwatch 2,"$2,271"
Seqtar,,New Zealand Australia,"July 30, 2000 (age 24)",Active,Support,mud dog,"Baptiste, Zenyatta, Ana",Overwatch Overwatch 2,"$5,328"
HaoYoQian,Wu Gengtuo,China,"June 12, 2000 (age 25)",Active,Coach Support,Team CC,"Lúcio, Mercy, Brigitte",,"$88,156"
Xeriongdh,,France,"March 26, 2005 (age 20)",Active,Support,Team Peps,"Kiriko, Baptiste, Ana",Overwatch Overwatch 2,"$12,827"
